[2024-08-12 00:37:25,385: INFO: main: This is an example logging]
[2024-08-12 02:38:38,271: INFO: main: This is an example logging]
[2021-01-01 04:57:43,200: INFO: common: Yaml file : config/config.yaml loaded successfully]
[2021-01-01 04:57:43,211: INFO: common: Yaml file : params.yaml loaded successfully]
[2021-01-01 05:01:57,732: INFO: common: Yaml file : config/config.yaml loaded successfully]
[2021-01-01 05:01:57,743: INFO: common: Yaml file : params.yaml loaded successfully]
[2021-01-01 05:01:57,751: INFO: common: Yaml file : schema.yaml loaded successfully]
[2021-01-01 05:01:57,758: INFO: common: Created directory at: artifacts]
[2021-01-01 05:13:17,673: INFO: common: Yaml file : config/config.yaml loaded successfully]
[2021-01-01 05:13:17,716: INFO: common: Yaml file : params.yaml loaded successfully]
[2021-01-01 05:13:17,737: INFO: common: Yaml file : schema.yaml loaded successfully]
[2021-01-01 05:13:17,746: INFO: common: Created directory at: artifacts]
[2024-08-15 19:29:47,648: INFO: main: >>>>> Stage Data ingestion has started <<<<<]
[2024-08-15 19:29:47,678: INFO: common: Yaml file : config/config.yaml loaded successfully]
[2024-08-15 19:29:47,689: INFO: common: Yaml file : params.yaml loaded successfully]
[2024-08-15 19:29:47,698: INFO: common: Yaml file : schema.yaml loaded successfully]
[2024-08-15 19:29:47,701: INFO: common: Created directory at: artifacts]
[2024-08-15 19:29:47,702: INFO: common: Created directory at: artifacts/data_ingestion]
[2024-08-15 19:32:01,347: INFO: main: >>>>> Stage Data ingestion has started <<<<<]
[2024-08-15 19:32:01,385: INFO: common: Yaml file : config/config.yaml loaded successfully]
[2024-08-15 19:32:01,391: INFO: common: Yaml file : params.yaml loaded successfully]
[2024-08-15 19:32:01,467: INFO: common: Yaml file : schema.yaml loaded successfully]
[2024-08-15 19:32:01,473: INFO: common: Created directory at: artifacts]
[2024-08-15 19:32:01,474: INFO: common: Created directory at: artifacts/data_ingestion]
